frame,drop_id,cx,cy,area_px,percentage,in_frame
301,1,702,429,4206,64.1,1
301,3,394,433,1219,18.58,1
302,1,702,429,4073,62.07,1
302,3,395,429,1234,18.81,1
303,1,702,429,4008,61.08,1
303,3,395,427,1266,19.29,1
304,1,702,429,3914,59.65,1
304,3,395,428,1164,17.74,1
305,1,702,429,3970,60.5,1
305,3,395,431,1131,17.24,1
306,1,702,429,4082,62.21,1
306,3,394,434,1139,17.36,1
307,1,702,428,4229,64.45,1
307,3,394,432,1116,17.01,1
308,1,701,428,4391,66.92,1
308,3,394,429,1192,18.17,1
309,1,701,427,4560,69.5,1
309,3,394,427,1224,18.65,1
310,1,701,427,4754,72.45,1
310,3,394,428,1235,18.82,1
311,1,701,427,4760,72.54,1
311,3,394,431,1143,17.42,1
312,1,702,427,4718,71.9,1
312,3,395,433,1030,15.7,1
313,1,702,427,4598,70.08,1
313,3,394,433,1173,17.88,1
314,1,701,428,4434,67.58,1
314,3,395,430,1180,17.98,1
315,1,701,428,4296,65.47,1
315,3,395,428,1261,19.22,1
316,1,701,429,4108,62.61,1
316,3,395,428,1197,18.24,1
317,1,700,429,3958,60.32,1
317,3,395,431,1146,17.47,1
318,1,700,429,3911,59.61,1
318,3,395,434,1147,17.48,1
319,1,699,429,3932,59.93,1
319,3,394,433,1184,18.04,1
320,1,699,429,3969,60.49,1
320,3,395,430,1196,18.23,1
321,1,700,429,4076,62.12,1
321,3,394,428,1218,18.56,1
322,1,701,429,4249,64.76,1
322,3,394,428,1213,18.49,1
323,1,702,428,4372,66.63,1
323,3,394,431,1145,17.45,1
324,1,703,428,4476,68.22,1
324,3,394,433,1068,16.28,1
325,1,703,428,4531,69.05,1
325,3,394,433,1077,16.41,1
326,1,703,427,4596,70.04,1
326,3,395,430,1181,18.0,1
327,1,703,427,4603,70.15,1
327,3,395,428,1231,18.76,1
328,1,703,427,4569,69.63,1
328,3,395,428,1189,18.12,1
329,1,703,427,4467,68.08,1
329,3,395,430,1146,17.47,1
330,1,703,428,4354,66.36,1
330,3,395,433,1191,18.15,1
331,1,703,428,4242,64.65,1
331,3,395,433,1074,16.37,1
332,1,703,429,4117,62.74,1
332,3,394,432,1253,19.1,1
333,1,702,429,4090,62.33,1
333,3,395,428,1215,18.52,1
334,1,702,429,4069,62.01,1
334,3,395,428,1202,18.32,1
335,1,702,429,4108,62.61,1
335,3,394,430,1155,17.6,1
336,1,702,429,4146,63.19,1
336,3,394,433,1067,16.26,1
337,1,702,428,4302,65.56,1
337,3,394,433,1172,17.86,1
338,1,701,428,4396,67.0,1
338,3,395,431,1147,17.48,1
339,1,702,428,4533,69.08,1
