frame,drop_id,cx,cy,area_px,percentage,in_frame
1751,1,811,338,6850,114.35,1
1751,3,1068,269,1706,28.48,1
1751,5,1163,256,1234,20.6,1
1751,6,637,295,163,2.72,1
1752,1,812,338,6993,116.73,1
1752,3,1071,260,1506,25.14,1
1752,5,1165,248,1373,22.92,1
1752,6,638,313,166,2.77,1
1753,1,813,338,6985,116.6,1
1753,3,1074,251,1651,27.56,1
1753,5,1168,241,1604,26.78,1
1753,6,638,333,174,2.9,1
1754,1,814,338,6823,113.9,1
1754,3,1076,243,1889,31.53,1
1754,5,1171,232,1721,28.73,1
1754,6,639,351,164,2.74,1
1755,1,815,338,6509,108.66,1
1755,3,1079,235,1983,33.1,1
1755,5,1173,224,1595,26.63,1
1755,6,639,370,170,2.84,1
1756,1,816,337,6126,102.26,1
1756,3,1081,227,1912,31.92,1
1756,5,1176,216,1370,22.87,1
1756,6,640,389,171,2.85,1
1757,1,817,336,5743,95.87,1
1757,3,1084,219,1701,28.39,1
1757,5,1178,207,1166,19.46,1
1757,6,641,408,169,2.82,1
1758,1,818,334,5409,90.29,1
1758,3,1086,211,1535,25.62,1
1758,5,1180,200,1217,20.32,1
1758,6,642,427,165,2.75,1
1759,1,819,334,5291,88.32,1
1759,3,1089,203,1632,27.24,1
1759,5,1183,193,1392,23.24,1
1760,1,820,334,5283,88.19,1
1760,3,1091,196,1841,30.73,1
1760,5,1186,187,1451,24.22,1
1761,1,821,334,5348,89.27,1
1761,3,1094,188,1909,31.87,1
1761,5,1188,178,1378,23.0,1
1761,7,643,437,159,2.65,1
1762,1,822,334,5532,92.35,1
1762,3,1096,181,1866,31.15,1
1762,5,1190,170,1197,19.98,1
1762,7,644,425,174,2.9,1
1763,1,823,334,5801,96.84,1
1763,3,1099,173,1690,28.21,1
1763,5,1191,162,867,14.47,1
1763,7,644,412,169,2.82,1
1764,1,825,333,6049,100.98,1
1764,3,1101,165,1551,25.89,1
1764,5,1194,155,901,15.04,1
1764,7,645,400,161,2.69,1
1765,1,826,333,6273,104.72,1
1765,3,1104,158,1634,27.28,1
1765,5,1195,151,844,14.09,1
1765,7,645,388,165,2.75,1
1766,1,826,332,6512,108.71,1
1766,3,1106,151,1783,29.76,1
1766,5,1197,146,808,13.49,1
1766,7,645,376,157,2.62,1
1767,1,827,332,6718,112.14,1
1767,3,1109,144,1852,30.92,1
1767,5,1198,140,654,10.92,1
1767,7,646,364,165,2.75,1
1768,1,829,332,6811,113.7,1
1768,3,1111,137,1813,30.26,1
1768,5,1203,132,536,8.95,1
1768,7,646,352,161,2.69,1
1769,1,830,333,6806,113.61,1
1769,3,1114,130,1659,27.69,1
1769,5,1203,120,208,3.47,1
1769,7,647,341,154,2.57,1
1770,1,831,334,6650,111.01,1
1770,3,1116,122,1561,26.06,1
1770,5,1202,115,216,3.61,1
1770,7,647,329,156,2.6,1
1771,1,832,334,6390,106.67,1
1771,3,1119,116,1569,26.19,1
1772,1,833,335,6047,100.94,1
1772,3,1121,109,1711,28.56,1
1772,8,648,306,159,2.65,1
1772,9,1204,104,155,2.59,1
1773,1,834,335,5711,95.33,1
1773,3,1123,102,1754,29.28,1
1773,8,648,295,153,2.55,1
1774,1,835,336,5437,90.76,1
1774,3,1126,96,1713,28.6,1
1774,8,649,284,154,2.57,1
1775,1,835,337,5414,90.38,1
1775,3,1128,89,1583,26.43,1
1775,8,649,274,156,2.6,1
1776,1,836,338,5522,92.18,1
1776,3,1131,82,1508,25.17,1
1777,1,837,339,5606,93.58,1
1777,3,1133,76,1508,25.17,1
1777,10,650,252,151,2.52,1
1778,1,839,339,5631,94.0,1
1778,3,1135,70,1587,26.49,1
1779,1,840,340,5734,95.72,1
1779,3,1137,64,1581,26.39,1
1779,11,651,232,154,2.57,1
1780,1,841,341,5936,99.09,1
1780,3,1140,58,1547,25.82,1
1780,11,651,221,152,2.54,1
1781,1,842,342,6146,102.6,1
1781,3,1143,51,1400,23.37,1
1782,1,843,344,6326,105.6,1
1782,3,1145,46,1258,21.0,1
1782,12,652,201,155,2.59,1
1783,1,844,345,6475,108.09,1
1783,3,1146,41,1218,20.33,1
1783,12,652,191,155,2.59,1
1784,1,845,346,6558,109.47,1
1784,3,1147,36,1160,19.36,1
1785,1,846,347,6553,109.39,1
1785,3,1149,32,1043,17.41,1
1785,13,653,172,150,2.5,1
1786,1,847,349,6417,107.12,1
1786,3,1153,26,1006,16.79,1
1786,13,653,163,152,2.54,1
1787,1,848,351,6186,103.26,1
1787,3,1155,22,600,10.02,1
1788,1,849,352,5914,98.72,1
1788,3,1157,18,446,7.45,1
1788,14,654,144,151,2.52,1
1789,1,851,353,5674,94.72,1
1789,3,1160,16,346,5.78,1
1790,1,851,355,5590,93.31,1
1790,3,1156,12,164,2.74,1
1791,1,852,357,5685,94.9,1
1792,1,852,360,5821,97.17,1
1793,1,853,362,5898,98.46,1
1794,1,855,364,5914,98.72,1
1795,1,856,366,5899,98.47,1
1796,1,858,367,5933,99.04,1
1797,1,859,370,6014,100.39,1
1798,1,860,372,6122,102.2,1
1799,1,860,375,6229,103.98,1
1800,1,861,377,6282,104.87,1
1801,1,862,380,6259,104.48,1
1802,1,863,383,6140,102.5,1
1803,1,865,386,5957,99.44,1
1804,1,866,388,5769,96.3,1
1805,1,867,391,5665,94.57,1
1806,1,868,393,5742,95.85,1
1807,1,869,396,5913,98.71,1
1808,1,869,400,6087,101.61,1
1809,1,870,403,6144,102.56,1
1810,1,871,406,6043,100.88,1
1811,1,872,408,5841,97.5,1
1812,1,873,410,5577,93.1,1
1813,1,875,412,5409,90.29,1
1814,1,875,414,5217,87.09,1
1815,1,876,416,5045,84.22,1
1816,1,876,418,4836,80.73,1
1817,1,876,420,4556,76.05,1
1818,1,877,423,4319,72.1,1
1819,1,878,425,4027,67.22,1
1820,1,879,425,4065,67.86,1
1821,1,880,423,4169,69.59,1
1822,1,881,422,4357,72.73,1
1823,1,883,421,4539,75.77,1
1824,1,884,420,4614,77.02,1
1825,1,885,418,4750,79.29,1
1826,1,886,416,4996,83.4,1
1827,1,887,413,5280,88.14,1
1828,1,888,411,5497,91.76,1
1829,1,890,409,5655,94.4,1
1830,1,891,407,5643,94.2,1
1831,1,892,405,5729,95.63,1
1832,1,892,403,5776,96.42,1
1833,1,893,402,5856,97.75,1
1834,1,893,401,5939,99.14,1
1835,1,894,401,6010,100.33,1
1836,1,894,401,6062,101.19,1
1837,1,895,401,6086,101.59,1
1838,1,895,402,6030,100.66,1
1839,1,895,403,5927,98.94,1
1840,1,895,404,5839,97.47,1
1841,1,895,405,5727,95.6,1
1842,1,895,406,5638,94.12,1
1843,1,895,407,5564,92.88,1
1844,1,895,408,5438,90.78,1
1845,1,895,410,5319,88.79,1
1846,1,895,411,5115,85.39,1
1847,1,894,413,5060,84.47,1
1848,1,893,414,4902,81.83,1
1849,1,893,416,4783,79.84,1
1850,1,892,418,4703,78.51,1
1851,1,892,419,4602,76.82,1
1852,1,891,421,4514,75.35,1
1853,1,891,422,4379,73.1,1
1854,1,890,422,4346,72.55,1
1855,1,891,421,4461,74.47,1
1856,1,890,420,4573,76.34,1
1857,1,890,419,4633,77.34,1
1858,1,890,418,4670,77.96,1
1859,1,889,417,4711,78.64,1
1860,1,889,415,4728,78.92,1
1861,1,889,414,4806,80.23,1
1862,1,890,412,4952,82.66,1
1863,1,889,411,5125,85.55,1
1864,1,889,410,5321,88.82,1
1865,1,889,409,5422,90.51,1
1866,1,888,408,5549,92.63,1
1867,1,888,408,5616,93.75,1
1868,1,888,408,5613,93.7,1
1869,1,888,408,5563,92.86,1
1870,1,888,409,5487,91.6,1
1871,1,888,410,5377,89.76,1
1872,1,888,411,5235,87.39,1
1873,1,887,412,5036,84.07,1
1874,1,887,413,4929,82.28,1
1875,1,887,415,4818,80.43,1
1876,1,887,416,4720,78.79,1
1877,1,887,417,4644,77.52,1
1878,1,887,419,4519,75.44,1
1879,1,887,420,4482,74.82,1
1880,1,887,421,4422,73.82,1
1881,1,887,421,4467,74.57,1
1882,1,887,421,4552,75.99,1
1883,1,887,420,4629,77.27,1
1884,1,887,419,4729,78.94,1
1885,1,887,418,4810,80.29,1
1886,1,888,417,4879,81.45,1
1887,1,888,416,4921,82.15,1
1888,1,888,414,4998,83.43,1
1889,1,888,413,5053,84.35,1
1890,1,888,412,5133,85.69,1
1891,1,888,411,5189,86.62,1
1892,1,888,410,5233,87.35,1
1893,1,888,410,5317,88.76,1
1894,1,889,409,5373,89.69,1
1895,1,889,409,5462,91.18,1
1896,1,889,409,5466,91.24,1
1897,1,889,410,5419,90.46,1
1898,1,889,411,5384,89.88,1
1899,1,889,412,5278,88.11,1
1900,1,889,413,5146,85.9,1
1901,1,889,414,5041,84.15,1
1902,1,889,415,4892,81.66,1
1903,1,888,417,4750,79.29,1
1904,1,889,418,4618,77.09,1
1905,1,888,419,4539,75.77,1
1906,1,888,420,4412,73.65,1
1907,1,888,420,4378,73.08,1
1908,1,888,421,4377,73.07,1
1909,1,888,420,4389,73.27,1
1910,1,889,420,4470,74.62,1
1911,1,889,419,4564,76.19,1
1912,1,889,418,4672,77.99,1
1913,1,889,416,4793,80.01,1
1914,1,889,415,4950,82.63,1
1915,1,889,414,5084,84.87,1
1916,1,889,413,5181,86.49,1
1917,1,889,412,5231,87.32,1
1918,1,889,411,5297,88.42,1
