frame,drop_id,cx,cy,area_px,percentage,in_frame
1234,1,283,83,1310,435.22,1
1234,2,969,191,10182,3382.72,1
1235,1,283,80,1266,420.6,1
1235,2,971,189,10646,3536.88,1
1236,1,282,77,1236,410.63,1
1236,2,972,188,11103,3688.7,1
1237,1,281,75,1300,431.89,1
1237,2,973,187,11427,3796.35,1
1238,1,280,72,1285,426.91,1
1238,2,974,186,11549,3836.88,1
1239,1,280,70,1324,439.87,1
1239,2,975,185,11463,3808.31,1
1240,1,279,67,1228,407.97,1
1240,2,977,184,11100,3687.71,1
1241,1,278,64,1190,395.35,1
1241,2,978,181,10652,3538.87,1
1242,1,278,61,1171,389.04,1
1242,2,979,178,10382,3449.17,1
1243,1,277,60,1230,408.64,1
1243,2,982,176,10275,3413.62,1
1244,1,276,58,1281,425.58,1
1244,2,983,175,10642,3535.55,1
1245,1,276,55,1284,426.58,1
1245,2,983,174,10954,3639.2,1
1246,1,275,52,1193,396.35,1
1246,2,983,174,11365,3775.75,1
1247,1,274,51,1098,364.78,1
1247,2,984,172,11692,3884.39,1
1248,1,274,49,1120,372.09,1
1248,2,985,171,11838,3932.89,1
1249,1,273,47,1168,388.04,1
1249,2,986,169,11652,3871.1,1
1250,1,273,46,1216,403.99,1
1250,2,987,167,11537,3832.89,1
1251,1,272,44,1210,401.99,1
1251,2,989,166,11468,3809.97,1
1252,1,271,42,1136,377.41,1
1252,2,990,165,11084,3682.39,1
1253,1,270,40,1025,340.53,1
1253,2,992,164,10550,3504.98,1
1254,1,270,39,1037,344.52,1
1254,2,994,164,10035,3333.89,1
1255,1,269,38,1092,362.79,1
1255,2,995,164,9677,3214.95,1
1256,1,268,36,1110,368.77,1
1256,2,996,164,9294,3087.71,1
1257,1,268,35,1130,375.42,1
1257,2,997,163,9302,3090.37,1
1258,1,266,34,1017,337.87,1
1258,2,999,162,9254,3074.42,1
1259,1,266,32,1014,336.88,1
1259,2,1000,161,9350,3106.31,1
1260,1,265,31,984,326.91,1
1260,2,1000,160,9477,3148.5,1
1261,1,265,30,1025,340.53,1
1261,2,1001,160,9757,3241.53,1
1262,1,264,29,1083,359.8,1
1262,2,1002,160,10143,3369.77,1
1263,1,264,28,1061,352.49,1
1263,2,1003,160,10213,3393.02,1
1264,1,263,27,1038,344.85,1
1264,2,1004,161,10341,3435.55,1
1265,1,262,26,969,321.93,1
1265,2,1006,161,10159,3375.08,1
1266,1,261,26,1018,338.21,1
1266,2,1007,161,10054,3340.2,1
1267,1,261,25,1068,354.82,0
1267,2,1009,161,9931,3299.34,1
1268,1,261,23,1127,374.42,0
1268,2,1011,162,9885,3284.05,1
1269,1,259,23,1069,355.15,0
1269,2,1012,163,10342,3435.88,1
1270,1,259,22,1002,332.89,0
1270,2,1012,163,10775,3579.73,1
1271,1,258,23,988,328.24,0
1271,2,1013,163,11192,3718.27,1
1272,1,258,22,1015,337.21,0
1272,2,1014,164,11355,3772.43,1
1273,1,257,22,1085,360.47,0
1273,2,1015,165,11521,3827.57,1
1274,1,256,22,1143,379.73,0
1274,2,1016,165,11635,3865.45,1
1275,1,256,22,1129,375.08,0
1275,2,1018,165,11390,3784.05,1
1276,1,255,22,962,319.6,0
1276,2,1019,165,11117,3693.36,1
1277,1,254,21,978,324.92,0
1277,2,1020,166,10940,3634.55,1
1278,1,253,23,1006,334.22,0
1278,2,1021,167,10655,3539.87,1
1279,1,252,24,944,313.62,1
1279,2,1022,169,10218,3394.68,1
1280,1,252,24,951,315.95,1
1280,2,1023,170,9973,3313.29,1
1281,1,250,24,986,327.57,1
1281,2,1024,171,9568,3178.74,1
1282,1,250,25,914,303.65,1
1282,2,1026,172,9464,3144.19,1
1283,1,249,25,935,310.63,1
1283,2,1028,174,9426,3131.56,1
1284,1,248,25,966,320.93,1
1284,2,1029,175,9190,3053.16,1
1285,1,247,27,963,319.93,1
1285,2,1030,176,9356,3108.31,1
1286,1,247,28,1003,333.22,1
1286,2,1031,178,9339,3102.66,1
1287,1,246,28,960,318.94,1
1287,2,1032,179,9332,3100.33,1
1288,1,245,29,895,297.34,1
1288,2,1033,181,9378,3115.61,1
1289,1,244,30,913,303.32,1
1289,2,1034,183,9624,3197.34,1
1290,1,244,31,910,302.33,1
1290,2,1035,185,9458,3142.19,1
1291,1,243,32,1006,334.22,1
1291,2,1037,187,9455,3141.2,1
1292,1,242,34,954,316.94,1
1292,2,1038,189,9535,3167.77,1
1293,1,241,34,953,316.61,1
1293,2,1039,191,9650,3205.98,1
1294,1,241,36,934,310.3,1
1294,2,1040,194,10036,3334.22,1
1295,1,240,37,919,305.32,1
1295,2,1041,196,10292,3419.27,1
1296,1,239,39,950,315.61,1
1296,2,1042,198,10636,3533.55,1
1297,1,238,40,944,313.62,1
1297,2,1043,200,10975,3646.18,1
1298,1,237,43,993,329.9,1
1298,2,1044,203,11145,3702.66,1
1299,1,237,45,948,314.95,1
1299,2,1046,205,11090,3684.39,1
1300,1,236,46,944,313.62,1
1300,2,1047,207,11047,3670.1,1
1301,1,235,48,951,315.95,1
1301,2,1049,209,10841,3601.66,1
1302,1,234,50,954,316.94,1
1302,2,1050,212,10541,3501.99,1
1303,1,233,52,986,327.57,1
1303,2,1051,214,10296,3420.6,1
1304,1,233,54,967,321.26,1
1304,2,1051,217,10069,3345.18,1
1305,1,232,55,996,330.9,1
1305,2,1052,220,9784,3250.5,1
1306,1,232,57,915,303.99,1
1306,2,1053,223,9548,3172.09,1
1307,1,230,60,968,321.59,1
1307,2,1054,226,9461,3143.19,1
1308,1,230,63,1006,334.22,1
1308,2,1055,230,9421,3129.9,1
1309,1,228,65,991,329.24,1
1309,2,1057,233,9274,3081.06,1
1310,1,228,68,971,322.59,1
1310,2,1058,236,9287,3085.38,1
1311,1,227,69,945,313.95,1
1311,2,1060,239,9117,3028.9,1
1312,1,226,73,964,320.27,1
1312,2,1061,243,9054,3007.97,1
1313,1,225,76,959,318.6,1
1313,2,1062,246,9013,2994.35,1
1314,1,225,79,986,327.57,1
1314,2,1063,250,8909,2959.8,1
1315,1,224,82,997,331.23,1
1315,2,1065,254,8980,2983.39,1
1316,1,224,85,959,318.6,1
1316,2,1066,258,8960,2976.74,1
1317,1,222,87,993,329.9,1
1317,2,1067,261,9064,3011.3,1
1318,1,221,90,981,325.91,1
1318,2,1068,265,9192,3053.82,1
1319,1,221,93,987,327.91,1
1319,2,1068,269,9390,3119.6,1
1320,1,220,97,1019,338.54,1
1320,2,1069,273,9731,3232.89,1
1321,1,219,100,993,329.9,1
1321,2,1070,276,9915,3294.02,1
1322,1,218,103,969,321.93,1
1322,2,1071,280,10086,3350.83,1
1323,1,218,106,951,315.95,1
1323,2,1072,284,10364,3443.19,1
